| Epoch 10 | Batch 150/510 | Loss: 8.1278 | PPL: 3387.44
| Epoch 10 | Batch 200/510 | Loss: 8.1269 | PPL: 3384.34
| Epoch 10 | Batch 250/510 | Loss: 8.1284 | PPL: 3389.21
| Epoch 10 | Batch 300/510 | Loss: 8.1291 | PPL: 3391.74
| Epoch 10 | Batch 350/510 | Loss: 8.1299 | PPL: 3394.53
| Epoch 10 | Batch 400/510 | Loss: 8.1305 | PPL: 3396.66
| Epoch 10 | Batch 450/510 | Loss: 8.1305 | PPL: 3396.60
| Epoch 10 | Batch 500/510 | Loss: 8.1303 | PPL: 3395.84
| End of Epoch 10 | Val Loss: 8.0377 | Val PPL: 3095.55 | LR: 1.96e-04
| Epoch 11 | Batch 0/510 | Loss: 8.1257 | PPL: 3380.10
| Epoch 11 | Batch 50/510 | Loss: 8.1277 | PPL: 3387.11
| Epoch 11 | Batch 100/510 | Loss: 8.1274 | PPL: 3386.13
| Epoch 11 | Batch 150/510 | Loss: 8.1285 | PPL: 3389.69
| Epoch 11 | Batch 200/510 | Loss: 8.1307 | PPL: 3397.24
| Epoch 11 | Batch 250/510 | Loss: 8.1303 | PPL: 3395.83
| Epoch 11 | Batch 300/510 | Loss: 8.1310 | PPL: 3398.12
| Epoch 11 | Batch 350/510 | Loss: 8.1317 | PPL: 3400.42
| Epoch 11 | Batch 400/510 | Loss: 8.1313 | PPL: 3399.09
| Epoch 11 | Batch 450/510 | Loss: 8.1308 | PPL: 3397.63
| Epoch 11 | Batch 500/510 | Loss: 8.1306 | PPL: 3396.79
| End of Epoch 11 | Val Loss: 8.0407 | Val PPL: 3104.80 | LR: 1.95e-04
| Epoch 12 | Batch 0/510 | Loss: 8.1392 | PPL: 3426.08
| Epoch 12 | Batch 50/510 | Loss: 8.1191 | PPL: 3358.11
| Epoch 12 | Batch 100/510 | Loss: 8.1262 | PPL: 3381.91
| Epoch 12 | Batch 150/510 | Loss: 8.1255 | PPL: 3379.51
| Epoch 12 | Batch 200/510 | Loss: 8.1258 | PPL: 3380.46
| Epoch 12 | Batch 250/510 | Loss: 8.1274 | PPL: 3386.00
| Epoch 12 | Batch 300/510 | Loss: 8.1277 | PPL: 3386.97
| Epoch 12 | Batch 350/510 | Loss: 8.1282 | PPL: 3388.83
| Epoch 12 | Batch 400/510 | Loss: 8.1288 | PPL: 3390.83
